State,Happiness Score (2026),Emotional & Physical Well-Being Rank,Work Environment Rank,Community & Environment Rank
Hawaii,65.50,2,16,13
Maryland,64.13,3,14,10
Nebraska,63.61,9,7,4
New Jersey,63.42,1,23,36
Connecticut,62.53,7,11,8
Utah,61.12,26,1,1
California,60.09,4,45,11
New Hampshire,59.56,15,10,7
Massachusetts,59.19,8,6,31
Idaho,58.31,29,2,21
Minnesota,58.21,11,12,19
Delaware,56.07,13,24,20
South Dakota,55.93,30,3,6
Florida,55.86,6,21,47
Virginia,55.45,12,17,37
New York,55.42,5,42,45
Iowa,55.42,21,22,9
Pennsylvania,54.73,14,31,16
Georgia,53.88,17,25,25
Wisconsin,53.62,24,13,28
North Dakota,53.43,20,9,41
Illinois,53.38,10,35,43
Arizona,52.89,16,27,32
Washington,52.88,18,36,18
South Carolina,52.82,25,20,17
Rhode Island,51.68,19,15,44
Kansas,51.29,27,19,29
North Carolina,50.97,22,28,33
Vermont,49.93,31,4,42
Wyoming,49.47,39,38,5
Missouri,48.31,35,18,26
Montana,47.83,45,5,21
Maine,47.64,36,8,40
Indiana,47.36,33,34,14
Michigan,47.06,34,43,12
Oklahoma,47.05,46,40,3
Texas,46.41,23,26,50
Ohio,45.67,38,39,22
Oregon,44.93,36,30,39
Nevada,44.82,40,44,24
Colorado,44.49,28,33,49
Mississippi,43.90,41,32,38
Kentucky,43.25,42,47,30
New Mexico,43.08,44,46,15
Tennessee,41.22,47,29,35
Alaska,40.69,32,48,48
Alabama,40.69,43,41,46
Arkansas,37.03,48,37,34
Louisiana,34.26,49,49,23
West Virginia,32.04,50,50,27
