State,Hate Crimes per 100k
New Jersey,13.28
Vermont,9.33
Massachusetts,7.85
Washington,7.23
Oregon,6.66
Utah,5.53
California,4.98
New York,4.76
Colorado,4.71
Kansas,4.12
Maryland,4.01
Maine,3.89
Ohio,3.70
West Virginia,3.68
Alabama,3.62
Michigan,3.62
Wyoming,3.47
Nevada,3.38
Arizona,3.22
Kentucky,3.17
Minnesota,3.17
Virginia,3.14
Missouri,3.04
Connecticut,2.86
Alaska,2.73
New Hampshire,2.69
Idaho,2.66
Indiana,2.65
North Carolina,2.60
North Dakota,2.57
Rhode Island,2.55
Nebraska,2.50
Illinois,2.49
Wisconsin,2.31
South Carolina,2.17
Pennsylvania,2.08
Iowa,1.97
Delaware,1.92
Oklahoma,1.89
New Mexico,1.89
Hawaii,1.72
Texas,1.71
Tennessee,1.30
Georgia,1.29
South Dakota,1.24
Louisiana,1.12
Florida,1.09
Montana,1.01
Arkansas,0.93
Mississippi,0.57
