State,Income Inequality (Gini Coefficient) (2026)
New York,51.50
Connecticut,50.20
Louisiana,49.80
Mississippi,49.00
California,48.70
Florida,48.10
Illinois,48.00
Massachusetts,48.00
Georgia,47.90
New Jersey,47.80
New Mexico,47.70
Kentucky,47.60
Arkansas,47.50
Pennsylvania,47.50
South Carolina,47.50
Tennessee,47.50
Texas,47.50
Alabama,47.40
North Carolina,47.40
Oklahoma,47.40
Nevada,47.10
Virginia,46.90
Ohio,46.50
West Virginia,46.40
Michigan,46.30
Missouri,46.30
Rhode Island,46.30
Montana,46.00
Arizona,45.90
Indiana,45.80
Washington,45.80
Maryland,45.60
North Dakota,45.60
Colorado,45.50
Delaware,45.10
Kansas,45.00
Oregon,45.00
Maine,44.90
Vermont,44.70
Minnesota,44.30
Iowa,44.20
New Hampshire,44.10
Hawaii,44.00
Nebraska,44.00
Wisconsin,43.90
Alaska,43.80
South Dakota,43.60
Wyoming,43.50
Idaho,43.40
Utah,42.70
