State,Life Expectancy (2021)
Mississippi,70.9
West Virginia,71
Alabama,72
Louisiana,72.2
Kentucky,72.3
Tennessee,72.4
Arkansas,72.5
Oklahoma,72.7
New Mexico,73
South Carolina,73.5
Georgia,74.3
Ohio,74.5
Alaska,74.5
Indiana,74.6
Missouri,74.6
North Carolina,74.9
Wyoming,75
Arizona,75
Nevada,75.1
Texas,75.4
Michigan,75.7
Montana,75.8
Kansas,76
Florida,76.1
Delaware,76.3
Pennsylvania,76.4
South Dakota,76.6
Maine,76.7
Virginia,76.8
Illinois,77.1
Idaho,77.2
Maryland,77.2
Oregon,77.4
North Dakota,77.6
Iowa,77.7
Colorado,77.7
Wisconsin,77.8
Nebraska,77.8
Utah,78.2
Washington,78.2
California,78.3
Vermont,78.4
Rhode Island,78.5
New Hampshire,78.5
Minnesota,78.8
New Jersey,79
New York,79
Connecticut,79.2
Massachusetts,79.6
Hawaii,79.9
