State,LE,SE,Quartile
Mississippi,70.9,0.092,70.9 - 74.5
West Virginia,71,0.117,70.9 - 74.5
Alabama,72,0.069,70.9 - 74.5
Louisiana,72.2,0.073,70.9 - 74.5
Kentucky,72.3,0.071,70.9 - 74.5
Tennessee,72.4,0.057,70.9 - 74.5
Arkansas,72.5,0.089,70.9 - 74.5
Oklahoma,72.7,0.074,70.9 - 74.5
New Mexico,73,0.113,70.9 - 74.5
South Carolina,73.5,0.069,70.9 - 74.5
Georgia,74.3,0.045,70.9 - 74.5
Ohio,74.5,0.044,70.9 - 74.5
Alaska,74.5,0.18,70.9 - 74.5
Indiana,74.6,0.057,74.6 - 76.3
Missouri,74.6,0.06,74.6 - 76.3
North Carolina,74.9,0.046,74.6 - 76.3
Wyoming,75,0.199,74.6 - 76.3
Arizona,75,0.057,74.6 - 76.3
Nevada,75.1,0.083,74.6 - 76.3
District of Columbia,75.3,0.19,74.6 - 76.3
Texas,75.4,0.027,74.6 - 76.3
Michigan,75.7,0.046,74.6 - 76.3
Montana,75.8,0.145,74.6 - 76.3
Kansas,76,0.086,74.6 - 76.3
Florida,76.1,0.033,74.6 - 76.3
Delaware,76.3,0.15,74.6 - 76.3
Pennsylvania,76.4,0.041,76.4 - 77.8
South Dakota,76.6,0.164,76.4 - 77.8
Maine,76.7,0.126,76.4 - 77.8
Virginia,76.8,0.049,76.4 - 77.8
Illinois,77.1,0.041,76.4 - 77.8
Idaho,77.2,0.104,76.4 - 77.8
Maryland,77.2,0.059,76.4 - 77.8
Oregon,77.4,0.067,76.4 - 77.8
North Dakota,77.6,0.164,76.4 - 77.8
Iowa,77.7,0.077,76.4 - 77.8
Colorado,77.7,0.06,76.4 - 77.8
Wisconsin,77.8,0.059,76.4 - 77.8
Nebraska,77.8,0.101,76.4 - 77.8
Utah,78.2,0.078,77.9 - 79.9
Washington,78.2,0.05,77.9 - 79.9
California,78.3,0.023,77.9 - 79.9
Vermont,78.4,0.176,77.9 - 79.9
Rhode Island,78.5,0.13,77.9 - 79.9
New Hampshire,78.5,0.117,77.9 - 79.9
Minnesota,78.8,0.059,77.9 - 79.9
New Jersey,79,0.045,77.9 - 79.9
New York,79,0.031,77.9 - 79.9
Connecticut,79.2,0.074,77.9 - 79.9
Massachusetts,79.6,0.05,77.9 - 79.9
Hawaii,79.9,0.118,77.9 - 79.9
Mississippi,67.7,0.133,67.7 - 71.8
West Virginia,68.1,0.167,67.7 - 71.8
Louisiana,68.8,0.105,67.7 - 71.8
Alabama,68.9,0.1,67.7 - 71.8
Tennessee,69.4,0.083,67.7 - 71.8
New Mexico,69.4,0.161,67.7 - 71.8
Kentucky,69.6,0.101,67.7 - 71.8
Arkansas,69.7,0.127,67.7 - 71.8
Oklahoma,70,0.105,67.7 - 71.8
South Carolina,70.4,0.1,67.7 - 71.8
Georgia,71.6,0.065,67.7 - 71.8
Missouri,71.6,0.088,67.7 - 71.8
Ohio,71.7,0.063,67.7 - 71.8
Indiana,71.8,0.083,67.7 - 71.8
District of Columbia,71.9,0.275,71.9 - 73.5
Arizona,72,0.082,71.9 - 73.5
North Carolina,72,0.068,71.9 - 73.5
Alaska,72.2,0.25,71.9 - 73.5
Nevada,72.4,0.119,71.9 - 73.5
Wyoming,72.5,0.281,71.9 - 73.5
Texas,72.7,0.038,71.9 - 73.5
Michigan,72.9,0.067,71.9 - 73.5
Montana,73.1,0.21,71.9 - 73.5
Florida,73.1,0.048,71.9 - 73.5
Delaware,73.3,0.218,71.9 - 73.5
Kansas,73.4,0.122,71.9 - 73.5
Pennsylvania,73.6,0.058,73.6 - 75.3
Maine,73.8,0.184,73.6 - 75.3
South Dakota,74.1,0.23,73.6 - 75.3
