state,state_code,2020_census,percent_of_total
California,CA,39538223,0.1191
Texas,TX,29145505,0.0874
Florida,FL,21538187,0.0647
New York,NY,20201249,0.0586
Pennsylvania,PA,13002700,0.0386
Illinois,IL,12801989,0.0382
Ohio,OH,11799448,0.0352
Georgia,GA,10711908,0.032
North Carolina,NC,10439388,0.0316
Michigan,MI,10077331,0.0301
New Jersey,NJ,9288994,0.0268
Virginia,VA,8631393,0.0257
Washington,WA,7705281,0.0229
Arizona,AZ,7151502,0.0219
Massachusetts,MA,7029917,0.0209
Tennessee,TN,6910840,0.0206
Indiana,IN,6785528,0.0203
Maryland,MD,6177224,0.0185
Missouri,MO,6154913,0.0182
Wisconsin,WI,5893718,0.0175
Colorado,CO,5773714,0.0174
Minnesota,MN,5706494,0.017
South Carolina,SC,5118425,0.0155
Alabama,AL,5024279,0.0148
Louisiana,LA,4657757,0.014
Kentucky,KY,4505836,0.0135
Oregon,OR,4237256,0.0127
Oklahoma,OK,3959353,0.0119
Connecticut,CT,3605944,0.0107
Utah,UT,3205958,0.0097
Iowa,IA,3271616,0.0095
Nevada,NV,3104614,0.0093
Arkansas,AR,3011524,0.0091
Mississippi,MS,2961279,0.009
Kansas,KS,2937880,0.0088
New Mexico,NM,2117522,0.0063
Nebraska,NE,1961504,0.0058
Idaho,ID,1839106,0.0054
West Virginia,WV,1793716,0.0054
Hawaii,HI,1455271,0.0043
New Hampshire,NH,1377529,0.0041
Maine,ME,1362359,0.0041
Rhode Island,RI,1097379,0.0032
Montana,MT,1084225,0.0032
Delaware,DE,989948,0.0029
South Dakota,SD,886667,0.0027
North Dakota,ND,779094,0.0023
Alaska,AK,733391,0.0022
DC,DC,689545,0.0021
Vermont,VT,643077,0.0019
Wyoming,WY,576851,0.0017
Total U.S.,Total,331449281,
