State,Pre-K-12 Rank,College Readiness,HS Graduation,NAEP Math,NAEP Reading,Preschool Enrollment
New Jersey,1,1,3,5,2,1
Massachusetts,2,2,10,1,1,5
Connecticut,3,4,14,17,5,1
Illinois,4,5,19,16,7,9
Utah,5,10,13,4,8,24
New Hampshire,6,20,15,9,4,7
Wisconsin,7,14,3,2,13,34
New York,8,9,25,27,27,3
Colorado,9,7,39,14,3,14
Virginia,10,8,12,22,29,19
Indiana,11,25,15,13,6,38
Vermont,12,15,41,21,25,4
Minnesota,13,18,37,3,14,24
Wyoming,14,13,43,12,15,6
Ohio,15,17,27,11,12,37
North Carolina,16,3,26,20,35,41
Nebraska,17,24,22,7,30,30
Tennessee,18,11,22,NA,NA,NA
Pennsylvania,19,28,20,18,19,28
South Dakota,20,26,34,6,16,39
Maryland,21,12,29,38,21,11
Florida,22,6,17,41,43,12
Kansas,23,37,17,24,31,10
Georgia,24,16,32,37,17,16
Hawaii,25,21,30,30,25,14
Kentucky,26,29,2,28,22,47
Iowa,27,47,20,23,10,29
Montana,28,19,30,10,11,49
Texas,29,27,5,34,44,23
Rhode Island,30,22,33,32,23,17
Washington,31,36,35,25,18,21
Missouri,32,35,9,29,32,36
Arkansas,33,32,7,43,37,33
Mississippi,34,48,8,35,41,17
Idaho,35,38,47,15,9,46
Maine,36,44,22,26,34,35
Louisiana,37,33,40,42,28,8
California,38,43,27,36,38,21
Michigan,39,30,42,31,33,27
North Dakota,40,31,38,8,24,50
South Carolina,41,34,35,39,40,20
Delaware,42,41,11,47,46,13
Alabama,43,40,6,48,45,32
Oregon,44,42,45,40,36,31
Arizona,45,23,49,33,39,42
West Virginia,46,45,1,49,48,45
Nevada,47,39,43,44,42,48
Oklahoma,48,46,46,45,47,40
Alaska,49,49,48,46,49,43
New Mexico,50,50,50,50,50,26
