State,Unemployment Rate (2025),Rank
South Dakota,2.1,1
Hawaii,2.2,2
North Dakota,2.6,3
Vermont,2.6,3
Alabama,2.7,5
Nebraska,3.0,6
New Hampshire,3.0,6
Wisconsin,3.1,8
Maine,3.2,9
Montana,3.3,10
Wyoming,3.4,11
Georgia,3.5,12
Iowa,3.5,12
Oklahoma,3.5,12
Virginia,3.5,12
Tennessee,3.6,16
Utah,3.6,16
Idaho,3.7,18
Indiana,3.7,18
Kansas,3.8,20
Mississippi,3.8,20
North Carolina,3.8,20
Colorado,3.9,23
Connecticut,4.0,24
Minnesota,4.0,24
Missouri,4.0,24
Arkansas,4.1,27
Florida,4.2,28
Maryland,4.2,28
New Mexico,4.2,28
Pennsylvania,4.2,28
Texas,4.2,28
Arizona,4.3,33
Louisiana,4.3,33
Rhode Island,4.3,33
Illinois,4.4,36
West Virginia,4.4,36
New York,4.5,38
Ohio,4.5,38
South Carolina,4.6,40
Washington,4.6,40
Alaska,4.7,42
Kentucky,4.7,42
Massachusetts,4.7,42
Delaware,4.9,45
Michigan,5.0,46
Nevada,5.2,47
Oregon,5.2,47
New Jersey,5.4,49
California,5.5,50
